日期,收盘,开盘,高,低,交易量,涨跌幅
2017年11月27日,"1,477.00","1,477.00","1,477.00","1,477.00",-,1.30%
2017年11月28日,"1,506.00","1,506.00","1,506.00","1,506.00",-,1.96%
2017年11月29日,"1,536.00","1,536.00","1,536.00","1,536.00",-,1.99%
2017年11月30日,"1,578.00","1,578.00","1,578.00","1,578.00",-,2.73%
2017年12月1日,"1,626.00","1,626.00","1,626.00","1,626.00",-,3.04%
2017年12月4日,"1,662.00","1,662.00","1,662.00","1,662.00",-,2.21%
2017年12月5日,"1,666.00","1,666.00","1,666.00","1,666.00",-,0.24%
2017年12月6日,"1,670.00","1,670.00","1,670.00","1,670.00",-,0.24%
2017年12月7日,"1,679.00","1,679.00","1,679.00","1,679.00",-,0.54%
2017年12月8日,"1,702.00","1,702.00","1,702.00","1,702.00",-,1.37%
2017年12月11日,"1,727.00","1,727.00","1,727.00","1,727.00",-,1.47%
2017年12月12日,"1,743.00","1,743.00","1,743.00","1,743.00",-,0.93%
2017年12月13日,"1,730.00","1,730.00","1,730.00","1,730.00",-,-0.75%
2017年12月14日,"1,668.00","1,668.00","1,668.00","1,668.00",-,-3.58%
2017年12月15日,"1,619.00","1,619.00","1,619.00","1,619.00",-,-2.94%
2017年12月18日,"1,588.00","1,588.00","1,588.00","1,588.00",-,-1.91%
2017年12月19日,"1,547.00","1,547.00","1,547.00","1,547.00",-,-2.58%
2017年12月20日,"1,476.00","1,476.00","1,476.00","1,476.00",-,-4.59%
2017年12月21日,"1,430.00","1,430.00","1,430.00","1,430.00",-,-3.12%
2017年12月22日,"1,366.00","1,366.00","1,366.00","1,366.00",-,-4.48%
2018年1月2日,"1,230.00","1,230.00","1,230.00","1,230.00",-,-9.96%
2018年1月3日,"1,262.00","1,262.00","1,262.00","1,262.00",-,2.60%
2018年1月4日,"1,341.00","1,341.00","1,341.00","1,341.00",-,6.26%
2018年1月5日,"1,371.00","1,371.00","1,371.00","1,371.00",-,2.24%
2018年1月8日,"1,385.00","1,385.00","1,385.00","1,385.00",-,1.02%
2018年1月9日,"1,395.00","1,395.00","1,395.00","1,395.00",-,0.72%
2018年1月10日,"1,366.00","1,366.00","1,366.00","1,366.00",-,-2.08%
2018年1月11日,"1,303.00","1,303.00","1,303.00","1,303.00",-,-4.61%
2018年1月12日,"1,279.00","1,279.00","1,279.00","1,279.00",-,-1.84%
2018年1月15日,"1,264.00","1,264.00","1,264.00","1,264.00",-,-1.17%
2018年1月16日,"1,221.00","1,221.00","1,221.00","1,221.00",-,-3.40%
2018年1月17日,"1,164.00","1,164.00","1,164.00","1,164.00",-,-4.67%
2018年1月18日,"1,139.00","1,139.00","1,139.00","1,139.00",-,-2.15%
2018年1月19日,"1,125.00","1,125.00","1,125.00","1,125.00",-,-1.23%
2018年1月22日,"1,129.00","1,129.00","1,129.00","1,129.00",-,0.36%
2018年1月23日,"1,157.00","1,157.00","1,157.00","1,157.00",-,2.48%
2018年1月24日,"1,200.00","1,200.00","1,200.00","1,200.00",-,3.72%
2018年1月25日,"1,217.00","1,217.00","1,217.00","1,217.00",-,1.42%
2018年1月26日,"1,219.00","1,219.00","1,219.00","1,219.00",-,0.16%
2018年1月29日,"1,214.00","1,214.00","1,214.00","1,214.00",-,-0.41%
2018年1月30日,"1,191.00","1,191.00","1,191.00","1,191.00",-,-1.89%
2018年1月31日,"1,152.00","1,152.00","1,152.00","1,152.00",-,-3.27%
2018年2月1日,"1,114.00","1,114.00","1,114.00","1,114.00",-,-3.30%
2018年2月2日,"1,095.00","1,095.00","1,095.00","1,095.00",-,-1.71%
2018年2月5日,"1,082.00","1,082.00","1,082.00","1,082.00",-,-1.19%
2018年2月6日,"1,095.00","1,095.00","1,095.00","1,095.00",-,1.20%
2018年2月7日,"1,097.00","1,097.00","1,097.00","1,097.00",-,0.18%
2018年2月8日,"1,106.00","1,106.00","1,106.00","1,106.00",-,0.82%
2018年2月9日,"1,125.00","1,125.00","1,125.00","1,125.00",-,1.72%
2018年2月12日,"1,123.00","1,123.00","1,123.00","1,123.00",-,-0.18%
2018年2月13日,"1,114.00","1,114.00","1,114.00","1,114.00",-,-0.80%
2018年2月14日,"1,095.00","1,095.00","1,095.00","1,095.00",-,-1.71%
2018年2月15日,"1,089.00","1,089.00","1,089.00","1,089.00",-,-0.55%
2018年2月16日,"1,084.00","1,084.00","1,084.00","1,084.00",-,-0.46%
2018年2月19日,"1,087.00","1,087.00","1,087.00","1,087.00",-,0.28%
2018年2月20日,"1,117.00","1,117.00","1,117.00","1,117.00",-,2.76%
2018年2月21日,"1,146.00","1,146.00","1,146.00","1,146.00",-,2.60%
2018年2月22日,"1,167.00","1,167.00","1,167.00","1,167.00",-,1.83%
2018年2月23日,"1,185.00","1,185.00","1,185.00","1,185.00",-,1.54%
2018年2月26日,"1,191.00","1,191.00","1,191.00","1,191.00",-,0.51%
2018年2月27日,"1,188.00","1,188.00","1,188.00","1,188.00",-,-0.25%
2018年2月28日,"1,192.00","1,192.00","1,192.00","1,192.00",-,0.34%
2018年3月1日,"1,196.00","1,196.00","1,196.00","1,196.00",-,0.34%
2018年3月2日,"1,207.00","1,207.00","1,207.00","1,207.00",-,0.92%
2018年3月5日,"1,210.00","1,210.00","1,210.00","1,210.00",-,0.25%
2018年3月6日,"1,212.00","1,212.00","1,212.00","1,212.00",-,0.17%
2018年3月7日,"1,191.00","1,191.00","1,191.00","1,191.00",-,-1.73%
2018年3月8日,"1,197.00","1,197.00","1,197.00","1,197.00",-,0.50%
2018年3月9日,"1,201.00","1,201.00","1,201.00","1,201.00",-,0.33%
2018年3月12日,"1,192.00","1,192.00","1,192.00","1,192.00",-,-0.75%
2018年3月13日,"1,179.00","1,179.00","1,179.00","1,179.00",-,-1.09%
2018年3月14日,"1,169.00","1,169.00","1,169.00","1,169.00",-,-0.85%
2018年3月15日,"1,150.00","1,150.00","1,150.00","1,150.00",-,-1.63%
2018年3月16日,"1,143.00","1,143.00","1,143.00","1,143.00",-,-0.61%
2018年3月19日,"1,136.00","1,136.00","1,136.00","1,136.00",-,-0.61%
2018年3月20日,"1,122.00","1,122.00","1,122.00","1,122.00",-,-1.23%
2018年3月21日,"1,117.00","1,117.00","1,117.00","1,117.00",-,-0.45%
2018年3月22日,"1,117.00","1,117.00","1,117.00","1,117.00",-,0.00%
2018年3月23日,"1,122.00","1,122.00","1,122.00","1,122.00",-,0.45%
